
variables
velocity (v_0)m/s,31.29
acceleration (a_0)m/s^2,-1.14
Thinking time (T) s,0.67
Time interval (t_c)s,0.25
v_target m/s,10

parameters
t_tartget s,19.34543859649123
lines ignored,35
m_max,3
n_max,110
x_max,110

line,time s,velocity m/s,distance from line 0 m,distance from junction m,spacing m,time for 1st click s,time for 2nd click s
0 (T),0.0,31.29,0.0,452.88000000000005,0,0.015979546180888465,0.06391818472355386
1 (T),0.25,31.29,7.8225,445.05750000000006,7.8225,0.2659795461808885,0.3139181847235539
2 (T),0.5,31.29,15.645,437.23500000000007,7.8225,0.5159795461808885,0.5639181847235538
3 (T),0.75,31.29,23.4675,429.4125,7.822500000000002,0.7659842004460997,0.813992783429487
4 (B),1.0,31.29,31.254375000000028,421.625625,7.786875000000027,1.0161312150677881,1.0645824030144846
5 (B),1.25,31.29,38.969999999999985,413.9100000000001,7.715624999999957,1.2662809599513158,1.3151830022642228
6 (B),1.5,31.29,46.61437500000003,406.265625,7.644375000000046,1.516433511890207,1.5657948911315416
7 (B),1.75,31.29,54.187500000000014,398.69250000000005,7.573124999999983,1.7665889505860868,1.8164183913613707
8 (B),2.0,31.29,61.68937500000003,391.190625,7.5018750000000125,2.016747358787712,2.067053837057645
9 (B),2.25,31.29,69.12000000000003,383.76,7.430625000000006,2.2669088224380496,2.317701575283256
10 (B),2.5,31.29,76.479375,376.40062500000005,7.359374999999972,2.517073430829937,2.5683619666953232
11 (B),2.75,31.29,83.76750000000001,369.11250000000007,7.288125000000008,2.7672412767709784,2.819035386218329
12 (B),3.0,31.29,90.98437500000003,361.895625,7.216875000000016,3.0174124567582505,3.0697222237575934
13 (B),3.25,31.29,98.13000000000007,354.75,7.145625000000038,3.2675870711635437,3.3204228849561774
14 (B),3.5,31.29,105.20437499999993,347.67562500000014,7.074374999999861,3.5177652244298834,3.5711377919981064
15 (B),3.75,31.29,112.20750000000004,340.6725,7.003125000000111,3.7679470252801717,3.8218673844614695
16 (B),4.0,31.29,119.13937499999997,333.7406250000001,6.931874999999934,4.018132586938705,4.072612120224832
17 (B),4.25,31.29,125.99999999999994,326.8800000000001,6.86062499999997,4.268322027366718,4.323372476431119
18 (B),4.5,31.29,132.78937499999995,320.0906250000001,6.789375000000007,4.518515469512804,4.5741489505131
19 (B),4.75,31.29,139.50749999999994,313.3725000000001,6.718124999999986,4.768713041579397,4.824942061285196
20 (B),5.0,31.29,146.15437499999996,306.7256250000001,6.646875000000023,5.018914877306582,5.075752350106695
21 (B),5.25,31.29,152.73,300.1500000000001,6.575625000000031,5.269121116274461,5.326580382121857
22 (B),5.5,31.29,159.234375,293.64562500000005,6.50437500000001,5.519331904225585,5.5774267475829005
23 (B),5.75,31.29,165.66749999999996,287.2125000000001,6.433124999999961,5.769547393408979,5.828292063262481
24 (B),6.0,31.29,172.029375,280.85062500000004,6.361875000000026,6.019767742947517,6.079176973962749
25 (B),6.25,31.29,178.32,274.56000000000006,6.290625000000006,6.269993119230434,6.330082154128843
26 (B),6.5,31.29,184.539375,268.34062500000005,6.219375000000014,6.520223696333102,6.581008309575319
27 (B),6.75,31.29,190.68749999999997,262.1925000000001,6.148124999999965,6.770459656466231,6.831956179334918
28 (B),7.0,31.29,196.764375,256.115625,6.07687500000003,7.0207011904569905,7.082926537639878
29 (B),7.25,31.29,202.77000000000004,250.11,6.0056250000000375,7.270948498264673,7.333920196047055
30 (B),7.5,31.29,208.704375,244.17562500000005,5.93437499999996,7.521201789533855,7.584938005719214
31 (B),7.75,31.29,214.5675,238.31250000000006,5.863124999999997,7.771461284188326,7.835980859876065
32 (B),8.0,31.29,220.359375,232.52062500000005,5.7918750000000045,8.021727213069228,8.087049696429954
33 (B),8.25,31.29,226.07999999999998,226.80000000000007,5.720624999999984,8.271999818621417,8.338145500822765
34 (B),8.5,31.29,231.72937500000003,221.15062500000002,5.649375000000049,8.522279355632236,8.58926930908217
35 (B),8.75,31.29,237.30749999999995,215.5725000000001,5.578124999999915,8.772566092027526,8.840422211117279
36 (B),9.0,31.29,242.81437500000004,210.065625,5.506875000000093,9.022860309730126,9.091605354276046
37 (B),9.25,31.29,248.24999999999997,204.63000000000008,5.435624999999931,9.273162305586482,9.342819947188879
